id,title,subtitle,description,short_description,syllabus,url,slug,difficulty,created,date_modified,date_published,available,end_date,typical_learning_time,rating,price,new,language,format,license,venue
KXOLVTovEeWnxw5wP_KHTw,"Introduction to Big Data",NULL,"What’s the “hype” surrounding the Big Data phenomenon? Who are these mysterious data scientists everyone is talking about? What kinds of problem-solving skills and knowledge should they have? What kinds of problems can be solved by Big Data technology? \nAfter this short introductory course you will have answers to all these questions. Additionally, you will start to become proficient with the key technical terms and big data tools and applications to prepare you for a deep dive into the rest of the courses in the Big Data specialization. \nEach day, our society creates 2.5 quintillion bytes of data (that’s 2.5 followed by 18 zeros). With this flood of data the need to unlock actionable value becomes more acute, rapidly increasing demand for Big Data skills and qualified data scientists.\n\nHands-On Assignment Hardware and Software Requirements\nSoftware\nWindows 7+, Mac OS X 10.10+, Ubuntu 14.04+ or CentOS 6+ VirtualBox 5+\n\nHardware\nQuad Core Processor (VT-x or AMD-V support recommended), 64-bit\n8 GB Ram\n20 GB disk free\n\nHow to find your hardware information:\nWindows: Open System by clicking the Start button, right-clicking Computer, and then clicking Properties\nMac: Open Overview by clicking on the Apple menu and clicking “About This Mac”\n\nMost computers with 8 GB RAM purchased in the last 3 years will meet the minimum requirements.\n\nInternet connection\nAccess to broadband connection to download the 4 GB Cloudera QuickStart VM from: \nhttp://www.cloudera.com/content/www/en-us/downloads/quickstart_vms/5-4.html?src=Coursera",NULL,NULL,http://www.coursera.org/learn/intro-to-big-data,intro-to-big-data,NULL,NULL,NULL,NULL,NULL,NULL,"3 weeks of study, 5-6 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
Rr2thkIKEeWZtA4u62x6lQ,"Machine Learning Capstone: An Intelligent Application with Deep Learning",NULL,"Have you ever wondered how a product recommender is built?  How you can infer the underlying sentiment from reviews?  How you can extract information from images to find visually-similar products to recommend?  How you construct an application that does all of these things in real time, and provides a front-end user experience?  That’s what you will build in this course!\n\nUsing what you’ve learned about machine learning thus far, you will build a general product recommender system that does much more than just find similar products  You will combine images of products with product descriptions and their reviews to create a truly innovative intelligent application.\n\nYou’ve probably heard that Deep Learning is making news across the world as one of the most promising techniques in machine learning, especially for analyzing image data. With every industry dedicating resources to unlock the deep learning potential, to be competitive, you will want to use these models in tasks such as image tagging, object recognition, speech recognition, and text analysis.  In this capstone, you will build deep learning models using neural networks, explore what they are, what they do, and how.  To remove the barrier introduced by designing, training, and tuning networks, and to be able to achieve high performance with less labeled data, you will also build deep learning classifiers tailored to your specific task using pre-trained models, which we call deep features.  \n\nAs a core piece of this capstone project, you will implement a deep learning model for image-based product recommendation.  You will then combine this visual model with text descriptions of products and information from reviews to build an exciting, end-to-end intelligent application that provides a novel product discovery experience.  You will then deploy it as a service, which you can share with your friends and potential employers.  \n\nLearning Outcomes:  By the end of this capstone, you will be able to:\n   -Explore a dataset of products, reviews and images.\n   -Build a product recommender.\n   -Describe how a neural network model is represented and how it encodes non-linear features.\n   -Combine different types of layers and activation functions to obtain better performance.\n   -Use pretrained models, such as deep features, for new classification tasks. \n   -Describe how these models can be applied in computer vision, text analytics and speech recognition.  \n   -Use visual features to find the products your users want.\n   -Incorporate review sentiment into the recommendation.\n   -Build an end-to-end application.\n   -Deploy it as a service.  \n   -Implement these techniques in Python.",NULL,NULL,http://www.coursera.org/learn/ml-capstone,ml-capstone,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
rc5KG0aUEeWG1w6arGoEIQ,"Accounting Analytics",NULL,"Accounting Analytics explores how financial statement data and non-financial metrics can be linked to financial performance.  In this course, taught by Wharton’s acclaimed accounting professors, you’ll learn how data is used to assess what drives financial performance and to forecast future financial scenarios. While many accounting and financial organizations deliver data, accounting analytics deploys that data to deliver insight, and this course will explore the many areas in which accounting data provides insight into other business areas including consumer behavior predictions, corporate strategy, risk management, optimization, and more. By the end of this course, you’ll understand how financial data and non-financial data interact to forecast events, optimize operations, and determine strategy. This course has been designed to help you make better business decisions about the emerging roles of accounting analytics, so that you can apply what you’ve learned to make your own business decisions and create strategy using financial data. ",NULL,NULL,http://www.coursera.org/learn/accounting-analytics,accounting-analytics,NULL,NULL,NULL,NULL,NULL,NULL,"4 weeks, 3 -5 hours per week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-174,"Discrete Optimization",NULL,"Tired of solving Sudokus by hand? This class teaches you how to solve complex search problems with discrete optimization concepts and algorithms, including constraint programming, local search, and mixed-integer programming.",NULL,NULL,http://www.coursera.org/course/optimization,optimization,NULL,NULL,NULL,NULL,NULL,NULL,"10-20 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
ENhHCTboEeW8ZAoCexam_w,"Data Analysis Tools",NULL,"In this course, you will develop and test hypotheses about your data. You will learn a variety of statistical tests, as well as strategies to know how to apply the appropriate one to your specific data and question. Using your choice of two powerful statistical software packages (SAS or Python), you will explore ANOVA, Chi-Square, and Pearson correlation analysis. This course will guide you through basic statistical principles to give you the tools to answer questions you have developed. Throughout the course, you will share your progress with others to gain valuable feedback and provide insight to other learners about their work.",NULL,NULL,http://www.coursera.org/learn/data-analysis-tools,data-analysis-tools,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
Gtv4Xb1-EeS-ViIACwYKVQ,"Machine Learning",NULL,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome. Machine learning is so pervasive today that you probably use it dozens of times a day without knowing it. Many researchers also think it is the best way to make progress towards human-level AI. In this class, you will learn about the most effective machine learning techniques, and gain practice implementing them and getting them to work for yourself. More importantly, youll learn about not only the theoretical underpinnings of learning, but also gain the practical know-how needed to quickly and powerfully apply these techniques to new problems. Finally, youll learn about some of Silicon Valleys best practices in innovation as it pertains to machine learning and AI.\n\nThis course provides a broad introduction to machine learning, datamining, and statistical pattern recognition. Topics include: (i) Supervised learning (parametric/non-parametric algorithms, support vector machines, kernels, neural networks). (ii) Unsupervised learning (clustering, dimensionality reduction, recommender systems, deep learning). (iii) Best practices in machine learning (bias/variance theory; innovation process in machine learning and AI). The course will also draw from numerous case studies and applications, so that youll also learn how to apply learning algorithms to building smart robots (perception, control), text understanding (web search, anti-spam), computer vision, medical informatics, audio, database mining, and other areas.\n\n\nCan I earn a Course Certificate if I completed this course before they were available?\nIn order to verify one’s identity and maintain academic integrity, learners who completed assignments or quizzes for Machine Learning prior to November 1st will need to redo and resubmit these assessments in order to earn a Course Certificate. To clarify, both quizzes and programming assignments need to be resubmitted. Though your deadlines may have technically passed, please be assured that you may resubmit both types of assessments at any time. We apologize for the inconvenience and appreciate your patience as we strive to ensure the integrity and value of our certificates. \n\nPlease note that, in order to earn a Course Certificate, you must complete the course within 180 days of payment, or by May 1, 2016, whichever is earlier.",NULL,NULL,http://www.coursera.org/learn/machine-learning,machine-learning,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
P--h6zpNEeWYbg7p2_3OHQ,"Python Data Structures",NULL,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook “Python for Informatics”.  This course is equivalent to the second half of the 11-week ""Programming for Everybody (Python)"" course.",NULL,NULL,http://www.coursera.org/learn/python-data,python-data,NULL,NULL,NULL,NULL,NULL,NULL,"2-4 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-1973,"The Caltech-JPL Summer School on Big Data Analytics",NULL,"This is an intensive, advanced summer school (in the sense used by scientists) in some of the methods of computational, data-intensive science.  It covers a variety of topics from applied computer science and engineering, and statistics, and it requires a strong background in computing, statistics, and data-intensive research.\n",NULL,NULL,http://www.coursera.org/course/bigdataschool,bigdataschool,NULL,NULL,NULL,NULL,NULL,NULL,"20-25 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
mUSYT5noEeWqkw5zNB248Q,"Bioconductor for Genomic Data Science",NULL,"Learn to use tools from the Bioconductor project to perform analysis of genomic data. This is the fifth course in the Genomic Big Data Specialization from Johns Hopkins University.",NULL,NULL,http://www.coursera.org/learn/bioconductor,bioconductor,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-896,"Mining Massive Datasets",NULL,"This class teaches algorithms for extracting models and other information from very large amounts of data.  The emphasis is on techniques that are efficient and that scale well.",NULL,NULL,http://www.coursera.org/course/mmds,mmds,NULL,NULL,NULL,NULL,NULL,NULL,"8-10 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
